"term","estimate_log_odds","std_error","p_value","odds_ratio","ci_lower","ci_upper"
"(Intercept)",-3.18852315599801,0.100502782337174,6.86703875102308e-221,0.0412327202911555,0.0338605388033047,0.0502099872800234
"COHORT_ID",0.567243386334046,0.036300381088681,4.81419309813185e-55,1.76339933460451,1.64229712337246,1.89343156547587
"AGE",0.00456739535773894,0.00142700711658509,0.00137102964010807,1.00457784180621,1.00177208108676,1.00739146089322
"RACEO",-0.155431814103548,0.0425150222873661,0.000256254364191958,0.856045445165043,0.787604099963649,0.930434217167787
"RACEW",-0.268321154850354,0.0410587548851402,6.35868585582371e-11,0.764662166701129,0.705537866622044,0.82874110213746
"PAIN_LEVEL",0.062820794164755,0.00712451945051347,1.16993164129787e-18,1.06483599730753,1.05007017223314,1.07980945573432
"LDL_I",0.000709884567137073,0.000313569438082403,0.0235813025877367,1.00071013659482,1.00009530430301,1.00132534686935
