"variable","level","unweighted_smd","weighted_smd","abs_unweighted_smd","abs_weighted_smd"
"AGE","continuous",-0.354061530913552,-0.0658926389439509,0.354061530913552,0.0658926389439509
"PAIN_LEVEL","continuous",-0.258950807019029,0.0367118344291863,0.258950807019029,0.0367118344291863
"LDL_I","continuous",0.161295460111806,-0.17385601901169,0.161295460111806,0.17385601901169
"RACE","B",-0.115548870125182,-0.0384358779298207,0.115548870125182,0.0384358779298207
"RACE","O",-0.116519012974536,-0.0249881675759784,0.116519012974536,0.0249881675759784
"RACE","W",0.200749189111825,0.0544361140819208,0.200749189111825,0.0544361140819208
